Платформа,Место в топе,Поисковый запрос,Количество запросов,Порядок сортировки (возрастание)
desktop,10,карта мира,795,1
desktop,9,таблица умножения,867,2
desktop,8,алфавит,874,3
desktop,7,таблица квадратов,877,4
desktop,6,Одноклассники (социальная сеть),1116,5
desktop,5,обои на рабочий стол,1143,6
desktop,4,английский алфавит,1293,7
desktop,3,картинки,1647,8
desktop,2,таблица менделеева,2631,9
touch,10,мода,2648,10
touch,9,музыка,2696,11
touch,8,новости,2708,12
touch,7,фильмы,2746,13
desktop,1,календарь 2021,2804,14
touch,6,игры,2833,15
touch,5,погода,2840,16
touch,4,с днем рождения,3005,17
touch,3,с днём рождения мужчине,3623,18
touch,2,с днём рождения,3967,19
touch,1,с днём рождения женщине,4903,20
