Платформа,Час суток,Количество запросов,"Доля запросов, %"
desktop,0,6232,1.61
desktop,1,3612,0.93
desktop,2,2477,0.64
desktop,3,2234,0.58
desktop,4,2805,0.72
desktop,5,3989,1.03
desktop,6,6122,1.58
desktop,7,9375,2.41
desktop,8,13932,3.59
desktop,9,18494,4.76
desktop,10,20674,5.32
desktop,11,22120,5.70
desktop,12,23299,6.00
desktop,13,24227,6.24
desktop,14,25475,6.56
desktop,15,26354,6.79
desktop,16,27013,6.96
desktop,17,25864,6.66
desktop,18,25349,6.53
desktop,19,25551,6.58
desktop,20,24834,6.40
desktop,21,21593,5.56
desktop,22,16121,4.15
desktop,23,10518,2.71
touch,0,14631,2.02
touch,1,9008,1.24
touch,2,6906,0.95
touch,3,6981,0.96
touch,4,8881,1.22
touch,5,12343,1.70
touch,6,20066,2.76
touch,7,29063,4.00
touch,8,40620,5.59
touch,9,43138,5.94
touch,10,43224,5.95
touch,11,37157,5.12
touch,12,37206,5.12
touch,13,36577,5.04
touch,14,37108,5.11
touch,15,37216,5.13
touch,16,38022,5.24
touch,17,38510,5.30
touch,18,39496,5.44
touch,19,40641,5.60
touch,20,46080,6.35
touch,21,43867,6.04
touch,22,36430,5.02
touch,23,22930,3.16
